date,value
1996-12-31,2197.19444936785
1997-12-31,2217.43467465234
1998-12-31,2235.81436287875
1999-12-31,2265.63191921674
2000-12-31,2332.25086030868
2001-12-31,2323.52855150984
2002-12-31,2376.10209812802
2003-12-31,2437.87309927269
2004-12-31,2512.07052788095
2005-12-31,2593.33304438215
2006-12-31,2669.55818658304
2007-12-31,2752.74051261205
2008-12-31,2773.84201948606
2009-12-31,2726.93494104079
2010-12-31,2887.64385236618
2011-12-31,2952.78463526265
2012-12-31,2979.76430041472
2013-12-31,3035.64707793307
2014-12-31,3080.44028257347
2015-12-31,3081.68481337426
2016-12-31,3138.09374397517
2017-12-31,3206.18534308225
2018-12-31,3291.87927206042
2019-12-31,3300.2905130117
2020-12-31,3257.17247981568
2021-12-31,3432.44336462311
2022-12-31,3496.50800480977
2023-12-31,3557.98382145796
