date,value
1996-12-31,1592.76675714077
1997-12-31,1585.08421246955
1998-12-31,1569.01390662929
1999-12-31,1580.06579744501
2000-12-31,1590.60086250942
2001-12-31,1584.45851392594
2002-12-31,1597.33297287626
2003-12-31,1635.58102498736
2004-12-31,1682.95044129212
2005-12-31,1708.69304493396
2006-12-31,1735.54645385898
2007-12-31,1759.78833317513
2008-12-31,1760.89364270519
2009-12-31,1723.0132731013
2010-12-31,1797.68456153472
2011-12-31,1804.53522890018
2012-12-31,1804.27859912268
2013-12-31,1811.32054159306
2014-12-31,1810.23611697449
2015-12-31,1790.51093398013
2016-12-31,1785.95703176022
2017-12-31,1804.56697466577
2018-12-31,1827.57958060532
2019-12-31,1829.6332990821
2020-12-31,1762.82657385656
2021-12-31,1852.31743577757
2022-12-31,1852.38308967766
2023-12-31,1866.16463634635
