date,value
1996-12-31,2935.85659469021
1997-12-31,2988.16875943624
1998-12-31,3058.63579897841
1999-12-31,3100.63823745417
2000-12-31,3067.53681240515
2001-12-31,3127.88447247574
2002-12-31,3099.84484728608
2003-12-31,3085.23241266853
2004-12-31,3372.54702636637
2005-12-31,3265.28464069219
2006-12-31,3309.22094404718
2007-12-31,3366.70408387321
2008-12-31,3534.91475037952
2009-12-31,3554.14601950834
2010-12-31,3552.34970824306
2011-12-31,3652.76955548342
2012-12-31,3615.68850778756
2013-12-31,3826.14509711904
2014-12-31,3897.89894554212
2015-12-31,3927.42504551155
2016-12-31,4001.05822974647
2017-12-31,4083.25871075718
2018-12-31,4028.45589843993
2019-12-31,4133.97280736972
2020-12-31,4097.91832923873
2021-12-31,4160.96325964178
2022-12-31,4185.51193589815
2023-12-31,4243.53110790989
